"main-captions	MSRvid	2012test	0001	5.000	a plane is taking off .	an air plane is taking off .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0009	4.250	a man is playing the cello .	a man seated is playing the cello .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0011	4.250	some men are fighting .	two men are fighting .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0016	5.000	a person is throwing a cat on to the ceiling .	a person throws a cat on the ceiling .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0017	4.200	the man hit the other man with a stick .	the man spanked the other man with a stick .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0018	4.600	a woman picks up and holds a baby kangaroo .	a woman picks up and holds a baby kangaroo in her arms .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0020	4.667	a person is folding a piece of paper .	someone is folding a piece of paper .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0025	5.000	the polar bear is sliding on the snow .	a polar bear is sliding across the snow .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0029	5.000	the man is riding a horse .	a man is riding on a horse .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0032	4.600	a panda is sliding down a slide .	a panda slides down a slide .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0035	5.000	a woman peels a potato .	a woman is peeling a potato .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0038	4.800	the boy fell off his bike .	a boy falls off his bike .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0040	5.000	the woman is playing the flute .	a woman is playing a flute .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0042	4.200	a rabbit is running from an eagle .	a hare is running from a eagle .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0044	4.200	the woman is frying a breaded pork chop .	a woman is cooking a breaded pork chop .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0046	4.000	a girl is flying a kite .	a girl running is flying a kite .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0047	4.000	a man is riding a mechanical bull .	a man rode a mechanical bull .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0048	4.909	the man is playing the guitar .	a man is playing a guitar .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0053	4.200	a man is pouring oil into a pan .	a man is pouring oil into a skillet .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0055	5.000	a dog rides a skateboard .	a dog is riding a skateboard .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0058	5.000	a woman peels shrimp .	a woman is peeling shrimp .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0059	4.000	a woman is frying fish .	a woman is cooking fish .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0065	5.000	a person cuts an onion .	a person is cutting an onion .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0075	4.400	a little boy is playing a keyboard .	a boy is playing key board .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0078	4.750	a dog licks a baby .	a dog is licking a baby .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0084	5.000	a man is playing the drums .	a man plays the drum .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0085	5.000	a woman rides a horse .	a woman is riding a horse .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0086	4.000	a man is eating a banana by a tree .	a man is eating a banana .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0089	4.750	a man chops down a tree with an axe .	a man cut a tree with an axe .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0099	4.000	a squirrel is spinning around in circles .	a squirrel runs around in circles .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0101	5.000	a man and a woman are kissing .	a man and woman kiss .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0106	4.200	a person is cutting mushrooms .	a person is cutting mushrooms with a knife .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0112	4.200	a pankda is eating bamboo .	a panda bear is eating some bamboo .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0114	4.800	a monkey pushes another monkey .	the monkey pushed the other monkey .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0115	4.400	a squirrel runs around in circles .	a squirrel is moving in circles .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0116	5.000	a man is tying his shoe .	a man ties his shoe .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0118	4.250	a dog is eating water melon .	a dog is eating a piece of watermelon .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0119	4.250	a woman is chopping broccoli .	a woman is chopping broccoli with a knife .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0129	4.000	a small dog is chasing a yoga ball .	a dog is chasing a ball .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0131	4.400	a man rides off on a motorcycle .	a man is riding on a motorcycle .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0149	4.800	the man cut a paper plate .	a man is cutting a paper plate .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0155	4.000	a man is playing on his keyboard .	a man is playing a keyboard piano .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0157	4.800	the lady chopped up the green onions .	the lady cut up a green onion .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0160	4.000	lionel richie is dancing on the ceiling .	lionel ritchie dances while standing on the ceiling .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0161	4.400	a man is playing a piano .	a person is playing the piano .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0163	4.600	a woman is playing flute .	a woman plays on a flute .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0165	4.800	a woman is cutting an onion .	a woman is chopping onions .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0166	4.857	a man is playing guitar .	a man plays a guitar .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0167	5.000	a woman is using a sewing machine .	a woman is sewing on a machine .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0185	4.000	the people got off the train .	the people got off the train at the station .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0187	4.800	a dog is jumping on a trampoline .	a dog bounces on a trampoline .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0192	5.000	a man is climbing a rope .	a man climbs up a rope .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0195	4.000	a man and woman are driving down the street in a jeep .	a man and woman are driving down the road in an open air vehicle .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0198	4.000	two women are wrestling .	two women are wrestling on the floor .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0199	4.000	the puppy played with a blue tennis ball .	a puppy is playing with a tennis ball .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0200	4.800	a kangroo is eating something .	a kangaroo is eating .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0202	4.750	the man cut some carpet with a knife .	a man is cutting carpet with a knife .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0210	4.800	a man cuts up potatos .	a man slices potatoes .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0212	4.800	a woman is chopping up garlic .	the woman is dicing garlic .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0216	4.000	a man is playing the guitar .	a man seated in a room is playing the guitar .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0217	5.000	a man plays the flute .	a man is playing a flute .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0224	4.400	two men are packing suitcases into the trunk of a car .	the men are putting suitcases into the car 's trunk .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0231	4.000	a man and woman are walking together through the woods .	a man and woman are walking arm in arm through a wooded area .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0234	4.133	fish are swimming .	a fish is swimming .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0235	4.000	two women mix something in a food processor .	two women make something in a blender .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0240	4.000	the man spread butter on the loaf of bread .	a man is spreading butter onto bread .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0241	4.000	a person is boiling noodles .	a woman is boiling noodles in water .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0256	4.000	a baby is laughing .	a baby is laughing and giggling .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0273	4.800	the man is eating pizza .	a man is eating a slice of pizza .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0285	4.000	a big green ball knocks a potato over .	a large green ball hits a potato .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0288	4.200	two dogs swim in a pool .	dogs are swimming in a pool .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0291	5.000	a woman slices tofu .	a woman is cutting tofu .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0297	4.000	a rooster pecks at a dead mouse .	a chicken is pecking at a dead mouse .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0311	4.200	a man is slicing a potato into pieces .	a man is cutting a potato .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0320	5.000	a person plays a keyboard .	someone is playing a keyboard .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0332	4.000	a car is moving through a road .	a car is driving down the road .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0339	4.800	a woman is cutting meat into pieces .	a woman is cutting up some meat .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0365	4.250	a man drove his car .	a man is driving a car .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0368	5.000	a man puts some cheese on a pizza .	the man sprinkled cheese on the pizza .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0369	5.000	the boy is playing the piano .	a boy plays a piano .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0377	4.600	people step off a train .	a group of people get off a train .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0380	5.000	a man is buttering a piece of bread .	a man is applying butter to bread .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0388	4.200	a black horse is running around .	the horse is running .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0427	4.250	two zebras are playing .	zebras are socializing .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0438	4.600	a badger is burrowing a hole .	a badger is digging the earth .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0447	4.600	a woman splits garlic cloves .	a woman is breaking a head of garlic into cloves .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0472	4.000	a dog lies on his back on a wooden floor .	a dog is laying on the floor .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0476	5.000	a man puts seasoning in a bowl of water .	the man added seasoning to water in a bowl .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0519	4.600	the dog walked along the edge of the pool .	a dog is walking along a pool .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0520	4.250	butter is being put into a bowl .	a man cutting butter into a mixing bowl .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0531	4.333	the man is slicing the tape from the box .	a man is cutting open a box .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0566	4.000	the woman is walking her dog .	a woman walks her dog down the street .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0570	5.000	a group of people sing .	some people are singing .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0571	4.400	the cat is drinking milk .	a cat is licking from a saucer of milk .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0601	4.000	paper is being cut with scissors .	a piece of paper is being cut .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0670	4.000	the rhino grazed on the grass .	a rhino is grazing in a field .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0699	4.000	the lady sliced a tomatoe .	someone is cutting a tomato .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0718	4.000	a rider is running and jumping her horse .	a woman jumps hurdles on a horse .",,,,,,,,,,,
"main-captions	MSRvid	2012test	0738	4.000	a man is smoking .	the man sat in his suit and smoked .",,,,,,,,,,,
"main-captions	MSRvid	2012train	0000	5.000	a man is riding a bicycle .	a man is riding a bike .",,,,,,,,,,,
"main-captions	MSRvid	2012train	0004	4.200	a woman is slicing an onion .	a woman is cutting an onion .",,,,,,,,,,,
"main-captions	MSRvid	2012train	0010	5.000	the man is drawing .	a man is drawing .",,,,,,,,,,,
